GEOID,SUMLEV,STATE,COUNTY,CBSA,CSA,NECTA,CNECTA,NAME,POP100,HU100,POP100.2000,HU100.2000,P001001,P001001.2000
17017960200,140,17,017,99999,999,,,Census Tract 9602,2655,1230,2806,1260,2655,2806
17017960300,140,17,017,99999,999,,,Census Tract 9603,3294,1372,3281,1304,3294,3281
17017960400,140,17,017,99999,999,,,Census Tract 9604,2548,1068,2524,1083,2548,2524
17017960500,140,17,017,99999,999,,,Census Tract 9605,2742,1040,2427,983,2742,2427
17019000200,140,17,019,16580,999,,,Census Tract 2,1693,700,1751,740,1693,1751
17019000302,140,17,019,16580,999,,,Census Tract 3.02,3372,2043,2493,1580,3372,2493
17019000401,140,17,019,16580,999,,,Census Tract 4.01,4843,570,4525,628,4843,4525
17019000500,140,17,019,16580,999,,,Census Tract 5,3919,2107,4001,2061,3919,4001
17019000700,140,17,019,16580,999,,,Census Tract 7,3650,1533,3479,1570,3650,3479
17019000800,140,17,019,16580,999,,,Census Tract 8,4844,2400,2331,1103,4844,2331
17019000901,140,17,019,16580,999,,,Census Tract 9.01,4867,2103,4777,2101,4867,4777
17019000902,140,17,019,16580,999,,,Census Tract 9.02,5786,2561,3167,1454,5786,3167
17019001000,140,17,019,16580,999,,,Census Tract 10,4510,2290,4583,2302,4510,4583
17019001100,140,17,019,16580,999,,,Census Tract 11,3599,1705,3676,1703,3599,3676
17019001201,140,17,019,16580,999,,,Census Tract 12.01,6590,2955,6698,2875,6590,6698
17019001203,140,17,019,16580,999,,,Census Tract 12.03,4592,1907,5002,1906,4592,5002
17019001204,140,17,019,16580,999,,,Census Tract 12.04,3622,1333,2790,999,3622,2790
17019001205,140,17,019,16580,999,,,Census Tract 12.05,5037,1961,1903,677,5037,1903
17019001301,140,17,019,16580,999,,,Census Tract 13.01,6081,2966,6346,2947,6081,6346
17019001302,140,17,019,16580,999,,,Census Tract 13.02,4199,2087,4224,1932,4199,4224
17019005300,140,17,019,16580,999,,,Census Tract 53,4383,3013,3336,1402,4383,3336
17019005401,140,17,019,16580,999,,,Census Tract 54.01,4170,2287,4153,2332,4170,4153
17019005500,140,17,019,16580,999,,,Census Tract 55,5635,2586,5457,2446,5635,5457
17019005600,140,17,019,16580,999,,,Census Tract 56,6853,3312,5614,2702,6853,5614
17019005701,140,17,019,16580,999,,,Census Tract 57.01,5066,2674,4506,2159,5066,4506
17019005702,140,17,019,16580,999,,,Census Tract 57.02,3015,1664,2682,1344,3015,2682
17019005800,140,17,019,16580,999,,,Census Tract 58,4194,1920,4082,1805,4194,4082
17019005900,140,17,019,16580,999,,,Census Tract 59,6366,1368,5830,1316,6366,5830
17019006000,140,17,019,16580,999,,,Census Tract 60,3308,802,3325,815,3308,3325
17019010100,140,17,019,16580,999,,,Census Tract 101,4582,2460,4994,2409,4582,4994
17019010204,140,17,019,16580,999,,,Census Tract 102.04,4620,2111,4676,2162,4620,4676
17019010400,140,17,019,16580,999,,,Census Tract 104,4809,2179,5252,2240,4809,5252
17019010601,140,17,019,16580,999,,,Census Tract 106.01,5549,2054,5061,1791,5549,5061
17019010603,140,17,019,16580,999,,,Census Tract 106.03,7144,2942,5604,2129,7144,5604
17019010800,140,17,019,16580,999,,,Census Tract 108,4534,1896,4420,1814,4534,4420
17019010900,140,17,019,16580,999,,,Census Tract 109,9302,3977,7663,3156,9302,7663
17019011000,140,17,019,16580,999,,,Census Tract 110,3809,2521,4045,2404,3809,4045
17019011100,140,17,019,16580,999,,,Census Tract 111,2785,1521,2572,1391,2785,2572
17021958200,140,17,021,45380,999,,,Census Tract 9582,3888,1778,3696,1604,3888,3696
17021958300,140,17,021,45380,999,,,Census Tract 9583,4308,2166,4540,2161,4308,4540
17021958400,140,17,021,45380,999,,,Census Tract 9584,3868,1796,3878,1712,3868,3878
17021958500,140,17,021,45380,999,,,Census Tract 9585,2551,1195,2651,1203,2551,2651
17021958600,140,17,021,45380,999,,,Census Tract 9586,2277,964,2370,957,2277,2370
17021958800,140,17,021,45380,999,,,Census Tract 9588,2746,1317,2865,1243,2746,2865
